Name	Number	ID	Date	Name2
HG01625	165	HG01625_REP165	rec 22-May-18	1625
HG01672	166	HG01672_REP166	rec 22-May-18	1672
HG01746	167	HG01746_REP167	rec 22-May-18	1746
HG01768	168	HG01768_REP168	rec 22-May-18	1768
HG01784	169	HG01784_REP169	rec 22-May-18	1784
HG02704	170	HG02704_REP170	rec 22-May-18	2704
HG03057	171	HG03057_REP171	rec 22-May-18	3057
HG03069	172	HG03069_REP172	rec 22-May-18	3069
HG03076	173	HG03076_REP173	rec 22-May-18	3076
HG03120	174	HG03120_REP174	rec 22-May-18	3120
HG03203	175	HG03203_REP175	rec 22-May-18	3203
GM12056	176	GM12056_REP176	rec 23-May-18	12056
GM18519	177	GM18519_REP177	rec 23-May-18	18519
GM18869	178	GM18869_REP178	rec 23-May-18	18869
GM18911	179	GM18911_REP179	rec 23-May-18	18911
GM18934	180	GM18934_REP180	rec 23-May-18	18934
GM19094	181	GM19094_REP181	rec 23-May-18	19094
GM19132	182	GM19132_REP182	rec 23-May-18	19132
GM19223	183	GM19223_REP183	rec 23-May-18	19223
GM19258	184	GM19258_REP184	rec 23-May-18	19258
GM19315	185	GM19315_REP185	rec 23-May-18	19315
GM19395	186	GM19395_REP186	rec 23-May-18	19395
GM19474	187	GM19474_REP187	rec 23-May-18	19474
GM20536	188	GM20536_REP188	rec 23-May-18	20536
GM20771	189	GM20771_REP189	rec 23-May-18	20771
GM20773	190	GM20773_REP190	rec 23-May-18	20773
GM20802	191	GM20802_REP191	rec 23-May-18	20802
GM20807	192	GM20807_REP192	rec 23-May-18	20807
HG03034	193	HG03034_REP193	rec 23-May-18	3034
HG03095	194	HG03095_REP194	rec 23-May-18	3095
HG03100	195	HG03100_REP195	rec 23-May-18	3100
HG03294	196	HG03294_REP196	rec 23-May-18	3294
HG03363	197	HG03363_REP197	rec 23-May-18	3363
HG03381	198	HG03381_REP198	rec 23-May-18	3381
HG03499	199	HG03499_REP199	rec 23-May-18	3499
HG03515	200	HG03515_REP200	rec 23-May-18	3515
GM07048	201	GM07048_REP201	rec 5-Jun-18	7048
GM12740	202	GM12740_REP202	rec 5-Jun-18	12740
GM12873	203	GM12873_REP203	rec 5-Jun-18	12873
GM18485	204	GM18485_REP204	rec 5-Jun-18	18485
GM19323	205	GM19323_REP205	rec 5-Jun-18	19323
GM19378	206	GM19378_REP206	rec 5-Jun-18	19378
GM20532	207	GM20532_REP207	rec 5-Jun-18	20532
GM20537	208	GM20537_REP208	rec 5-Jun-18	20537
HG00183	209	HG00183_REP209	rec 5-Jun-18	183
HG00254	210	HG00254_REP210	rec 5-Jun-18	254
HG00259	211	HG00259_REP211	rec 5-Jun-18	259
HG00270	212	HG00270_REP212	rec 5-Jun-18	270
HG00384	213	HG00384_REP213	rec 5-Jun-18	384
HG01774	214	HG01774_REP214	rec 5-Jun-18	1774
HG02232	215	HG02232_REP215	rec 5-Jun-18	2232
HG02675	216	HG02675_REP216	rec 5-Jun-18	2675
HG03061	217	HG03061_REP217	rec 5-Jun-18	3061
HG03072	218	HG03072_REP218	rec 5-Jun-18	3072
HG03251	219	HG03251_REP219	rec 5-Jun-18	3251
HG03265	220	HG03265_REP220	rec 5-Jun-18	3265
HG03270	221	HG03270_REP221	rec 5-Jun-18	3270
HG03401	222	HG03401_REP222	rec 5-Jun-18	3401
HG03445	223	HG03445_REP223	rec 5-Jun-18	3445
HG03474	224	HG03474_REP224	rec 5-Jun-18	3474
HG03577	225	HG03577_REP225	rec 5-Jun-18	3577
GM07349	226	GM07349_REP226	rec 6-Jun-18	7349
GM18498	227	GM18498_REP227	rec 6-Jun-18	18498
GM18506	228	GM18506_REP228	rec 6-Jun-18	18506
GM18917	229	GM18917_REP229	rec 6-Jun-18	18917
GM19017	230	GM19017_REP230	rec 6-Jun-18	19017
GM19044	231	GM19044_REP231	rec 6-Jun-18	19044
GM19123	232	GM19123_REP232	rec 6-Jun-18	19123
GM19208	233	GM19208_REP233	rec 6-Jun-18	19208
GM19393	234	GM19393_REP234	rec 6-Jun-18	19393
GM20511	235	GM20511_REP235	rec 6-Jun-18	20511
GM20796	236	GM20796_REP236	rec 6-Jun-18	20796
GM20803	237	GM20803_REP237	rec 6-Jun-18	20803
GM20811	238	GM20811_REP238	rec 6-Jun-18	20811
HG00332	239	HG00332_REP239	rec 6-Jun-18	332
HG00353	240	HG00353_REP240	rec 6-Jun-18	353
HG00361	241	HG00361_REP241	rec 6-Jun-18	361
HG00383	242	HG00383_REP242	rec 6-Jun-18	383
HG01628	243	HG01628_REP243	rec 6-Jun-18	1628
HG02236	244	HG02236_REP244	rec 6-Jun-18	2236
HG02582	245	HG02582_REP245	rec 6-Jun-18	2582
HG02589	246	HG02589_REP246	rec 6-Jun-18	2589
HG03109	247	HG03109_REP247	rec 6-Jun-18	3109
HG03134	248	HG03134_REP248	rec 6-Jun-18	3134
HG03305	249	HG03305_REP249	rec 6-Jun-18	3305
HG03343	250	HG03343_REP250	rec 6-Jun-18	3343
GM10837	251	GM10837Ê_REP251	rec 19-Jun-18	10837
GM11933	252	GM11933Ê_REP252	rec 19-Jun-18	11933
HG00104	253	HG00104Ê_REP253	rec 19-Jun-18	104
HG00121	254	HG00121Ê_REP254	rec 19-Jun-18	121
HG00152	255	HG00152Ê_REP255	rec 19-Jun-18	152
