Family.ID	Individual.ID	LCL Catalog ID in Coriell system	Paternal.ID	Maternal.ID	Gender	Phenotype	Population	Relationship	Siblings	Second.Order	Third.Order	Other.Comments	id	batch
1447	GM12752	GM12752	GM12760	GM12761	1	0	CEU	father	0	0	0	0	386	2
GB116	HG03248	HG03248	HG03246	HG03247	1	0	GWD	child	0	0	0	0	398	2
NA19023	NA19023	GM19023	0	0	2	0	LWK	unrel	0	0	0	0	410	2
HG00232	HG00232	HG00232	0	0	2	0	GBR	unrel	0	0	0	0	422	2
NA19031	NA19031	GM19031	0	0	1	0	LWK	unrel	0	0	0	0	434	2
Y077	NA19128	GM19128	0	0	1	0	YRI	father	0	0	0	0	446	2
NA19437	NA19437	GM19437	0	0	2	0	LWK	unrel	0	0	0	0	458	2
NG14	HG02947	HG02947	0	0	1	0	ESN	father	0	0	0	0	470	2
SL49	HG03450	HG03450	0	HG03449	2	0	MSL	child	0	0	0	0	482	2
GB21	HG02572	HG02572	HG02570	HG02571	1	0	GWD	child	0	0	0	0	494	2
HG00154	HG00154	HG00154	0	0	2	0	GBR	unrel	0	0	0	0	506	2
HG00111	HG00111	HG00111	0	0	2	0	GBR	unrel	0	0	0	0	518	2
NA20756	NA20756	GM20756	0	0	2	0	TSI	unrel	0	0	0	0	530	2
IBS052	HG01781	HG01781	0	0	1	0	IBS	father	0	0	0	0	542	2
1408	GM12156	GM12156	0	0	2	0	CEU	mat grandmother	0	0	0	0	554	2
NA20798	NA20798	GM20798	0	0	1	0	TSI	unrel	0	0	0	0	566	2
GB54	HG02759	HG02759	0	0	1	0	GWD	father	0	0	0	0	578	2
1328	GM06989	GM06989	0	0	2	0	CEU	mother	0	0	0	0	590	2
SL69	HG03569	HG03569	0	0	2	0	MSL	mother	0	0	0	0	3	3
Y021	NA18879	GM18879	0	0	1	0	YRI	father	0	0	0	0	15	3
NA20813	NA20813	GM20813	0	0	2	0	TSI	unrel	0	0	0	0	27	3
NA19391	NA19391	GM19391	0	0	2	0	LWK	unrel	0	0	0	0	39	3
HG00145	HG00145	HG00145	0	0	1	0	GBR	unrel	0	0	0	0	51	3
GB81	HG02861	HG02861	0	0	2	0	GWD	mother	0	0	0	0	63	3
IBS008	HG01523	HG01523	HG01521	HG01522	1	0	IBS	child	0	0	0	0	75	3
NG32	HG03117	HG03117	0	0	2	0	ESN	mother	0	0	0	0	87	3
NA19350	NA19350	GM19350	0	0	1	0	LWK	unrel	0	0	0	0	99	3
Y005	NA18503	GM18503	NA18504	NA18505	1	0	YRI	child	0	0	0	0	111	3
SL58	HG03477	HG03477	0	HG03476	1	0	MSL	child	0	0	0	0	123	3
NG31	HG03116	HG03116	HG03115	HG03114	2	0	ESN	child	0	0	0	0	135	3
HG00156	HG00156	HG00156	0	0	1	0	GBR	unrel	0	0	0	0	147	3
HG03433	HG03433	HG03433	0	0	1	0	MSL	unrel	0	0	0	0	159	3
NA20760	NA20760	GM20760	0	0	2	0	TSI	unrel	0	0	0	0	171	3
1458	GM12832	GM12832	GM12842	GM12843	2	0	CEU	mother	0	0	0	0	183	3
NA20759	NA20759	GM20759	0	0	1	0	TSI	unrel	0	0	0	0	195	3
HG00131	HG00131	HG00131	0	0	1	0	GBR	unrel	0	0	0	0	207	3
HG00358	HG00358	HG00358	0	0	1	0	FIN	unrel	0	0	0	0	219	3
NG88	HG03341	HG03341	0	HG03339	2	0	ESN	child	0	0	0	0	231	3
GB89	HG02884	HG02884	0	0	1	0	GWD	father	0	0	0	0	243	3
IBS009	HG01526	HG01526	HG01524	HG01525	1	0	IBS	child	0	0	0	0	255	3
IBS020	HG01614	HG01614	HG01615	HG01613	2	0	IBS	child	0	0	0	0	267	3
HG00129	HG00129	HG00129	0	0	1	0	GBR	unrel	0	0	0	0	279	3
NA19452	NA19452	GM19452	0	0	1	0	LWK	unrel	0	0	0	0	291	3
HG00178	HG00178	HG00178	0	0	2	0	FIN	unrel	0	0	0	0	303	3
NA19385	NA19385	GM19385	0	0	1	0	LWK	unrel	0	0	0	0	315	3
HG00312	HG00312	HG00312	0	0	1	0	FIN	unrel	0	0	0	0	327	3
GB66	HG02817	HG02817	0	0	2	0	GWD	mother	0	0	0	0	339	3
HG03446	HG03446	HG03446	0	0	2	0	MSL	unrels	0	0	0	0	351	3
NA20790	NA20790	GM20790	0	0	2	0	TSI	unrel	0	0	0	0	363	3
GB40	HG02666	HG02666	0	0	1	0	GWD	father	0	0	"HG02666,HG02624"	0	375	3
NG35	HG03128	HG03128	HG03127	HG03126	1	0	ESN	child	0	0	0	0	387	3
HG00256	HG00256	HG00256	0	0	1	0	GBR	unrel	0	0	0	0	399	3
NG74	HG03299	HG03299	HG03298	HG03297	1	0	ESN	child	0	0	0	0	411	3
NA20766	NA20766	GM20766	0	0	2	0	TSI	unrel	0	0	0	0	423	3
GB120	HG03260	HG03260	HG03258	HG03259	1	0	GWD	child	0	0	0	0	435	3
IBS017	HG01622	HG01622	HG01624	HG01623	2	0	IBS	child	0	0	0	0	447	3
GB125	HG03538	HG03538	0	0	1	0	GWD	father	0	0	0	0	459	3
NG95	HG03361	HG03361	0	0	1	0	ESN	father	0	0	0	0	471	3
